size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
400,2048,1.0e-19,1.953e-01,99.99999934,20.00520774,5.00788271,0.00301197,7176,7.176e-16,51.7728765011,100.00000000,20.00516054,5.04048638,-0.00000000,2.1742247052e-14
400,2048,5.0e-19,1.953e-01,99.99793904,20.02733714,5.00789162,0.00301399,1436,7.180e-16,10.3761048317,100.00000000,20.02729204,5.04053101,-0.00000000,2.1754275217e-14
400,2048,1.0e-18,1.953e-01,99.93432281,20.02480853,5.00791351,0.00301966,718,7.180e-16,5.1320793629,100.00000000,20.02476320,5.04052591,-0.00000000,2.1752900823e-14
400,4096,1.0e-19,9.766e-02,99.99999904,20.00383397,5.03078058,0.00072170,5868,5.868e-16,142.6187798977,100.00000000,20.00378664,5.04048361,-0.00000000,2.1741500355e-14
550,256,1.0e-19,2.148e+00,100.00000000,20.00040245,7.88359628,-0.30310694,92661,9.266e-15,38.9199135303,100.00000000,20.00035478,5.04047669,0.00000000,2.1739635190e-14
550,256,5.0e-19,2.148e+00,100.00000000,20.00212919,7.88379971,-0.30313093,18533,9.267e-15,7.6957075596,100.00000000,20.00208169,5.04048017,-0.00000000,2.1740573741e-14
550,256,1.0e-18,2.148e+00,100.00000000,20.00428762,7.88405400,-0.30316091,9267,9.267e-15,3.7459211349,100.00000000,20.00424033,5.04048453,0.00000000,2.1741746931e-14
550,256,5.0e-18,2.148e+00,100.00000000,20.01723818,7.88557986,-0.30334077,1854,9.270e-15,0.7682576180,100.00000000,20.01719213,5.04051064,-0.00000000,2.1748786055e-14
550,256,1.0e-17,2.148e+00,99.99999999,20.01723812,7.88557982,-0.30334078,927,9.270e-15,0.3756287098,100.00000000,20.01719207,5.04051064,-0.00000000,2.1748786023e-14
550,256,5.0e-17,2.148e+00,99.99996136,20.14670295,7.90081976,-0.30513918,186,9.300e-15,0.0848927498,100.00000000,20.14666082,5.04077213,0.00000000,2.1819150482e-14
550,256,1.0e-16,2.148e+00,99.99876792,20.14605116,7.90039677,-0.30515724,93,9.300e-15,0.0439898968,100.00000000,20.14600896,5.04077081,0.00000000,2.1818796208e-14
550,512,1.0e-19,1.074e+00,100.00000000,20.00004806,9.84115406,-0.09138504,82549,8.255e-15,78.3752038479,100.00000000,20.00000036,5.04047598,0.00000000,2.1739442564e-14
550,512,5.0e-19,1.074e+00,100.00000000,20.00053262,9.84124251,-0.09138619,16510,8.255e-15,13.2581772804,100.00000000,20.00048496,5.04047696,-0.00000000,2.1739705942e-14
550,512,1.0e-18,1.074e+00,100.00000000,20.00053262,9.84124251,-0.09138619,8255,8.255e-15,13.3018634319,100.00000000,20.00048496,5.04047696,-0.00000000,2.1739705942e-14
550,512,5.0e-18,1.074e+00,100.00000000,20.00053261,9.84124250,-0.09138619,1651,8.255e-15,2.7254660130,100.00000000,20.00048496,5.04047696,0.00000000,2.1739705939e-14
550,512,1.0e-17,1.074e+00,99.99999998,20.02476059,9.84566486,-0.09144378,826,8.260e-15,1.3727591038,100.00000000,20.02471526,5.04052581,0.00000000,2.1752874769e-14
550,512,5.0e-17,1.074e+00,99.99994331,20.21852241,9.88099890,-0.09192147,166,8.300e-15,0.2833390236,100.00000000,20.21847873,5.04091754,0.00000000,2.1858182515e-14
550,1024,1.0e-19,5.371e-01,99.99999997,20.00045133,10.39183805,-0.02300094,80970,8.097e-15,228.0246601105,100.00000000,20.00040366,5.04047679,-0.00000000,2.1739661756e-14
550,1024,5.0e-19,5.371e-01,99.99991470,20.00143565,10.39203462,-0.02300144,16196,8.098e-15,40.9416966438,100.00000000,20.00138808,5.04047878,-0.00000000,2.1740196775e-14
550,1024,1.0e-18,5.371e-01,99.99727217,20.00138435,10.39202433,-0.02300123,8099,8.099e-15,56.2001850605,100.00000000,20.00133678,5.04047867,-0.00000000,2.1740168892e-14
550,1024,5.0e-18,5.371e-01,91.97283501,20.00722431,10.38972486,-0.02291218,1622,8.110e-15,10.8683600426,100.00000000,20.00717731,5.04049045,-0.00000000,2.1743343137e-14
550,1024,1.0e-17,5.371e-01,8.24266613,20.04219061,10.28377797,-0.02250287,805,8.050e-15,5.4526526928,100.00000000,20.04214688,5.04056098,-0.00000000,2.1762348614e-14
550,2048,1.0e-19,2.686e-01,99.99999957,20.00073130,5.00158517,0.00575911,9349,9.349e-16,66.9096183777,100.00000000,20.00068366,5.04047736,-0.00000000,2.1739813932e-14
550,2048,5.0e-19,2.686e-01,99.99866534,20.00490401,5.00158630,0.00575983,1870,9.350e-16,13.2924056053,100.00000000,20.00485678,5.04048577,-0.00000000,2.1742081964e-14
550,2048,1.0e-18,2.686e-01,99.95742889,20.00333730,5.00160693,0.00576128,935,9.350e-16,6.6910588741,100.00000000,20.00328992,5.04048261,0.00000000,2.1741230399e-14
550,4096,1.0e-19,1.343e-01,99.99999914,20.00380511,5.02289004,0.00138445,6218,6.218e-16,147.8829646111,100.00000000,20.00375778,5.04048355,-0.00000000,2.1741484670e-14
550,4096,5.0e-19,1.343e-01,99.99731974,20.01644839,5.02290388,0.00138552,1244,6.220e-16,28.8022758961,100.00000000,20.01640227,5.04050905,-0.00000000,2.1748356775e-14
700,256,1.0e-19,2.734e+00,100.00000000,20.00018160,5.46839806,0.28395890,98639,9.864e-15,39.5496463776,100.00000000,20.00013391,5.04047625,-0.00000000,2.1739515148e-14
700,256,5.0e-19,2.734e+00,100.00000000,20.00139818,5.46842534,0.28395253,19730,9.865e-15,8.1812665462,100.00000000,20.00135061,5.04047870,0.00000000,2.1740176411e-14
700,256,1.0e-18,2.734e+00,100.00000000,20.00139818,5.46842534,0.28395253,9866,9.866e-15,4.0065722466,100.00000000,20.00135061,5.04047870,-0.00000000,2.1740176411e-14
700,256,5.0e-18,2.734e+00,100.00000000,20.00545347,5.46851625,0.28393128,1975,9.875e-15,0.8241345882,100.00000000,20.00540629,5.04048688,-0.00000000,2.1742380614e-14
700,256,1.0e-17,2.734e+00,99.99999995,20.02572978,5.46897096,0.28382490,989,9.890e-15,0.4115409851,100.00000000,20.02568454,5.04052777,-0.00000000,2.1753401559e-14
700,256,5.0e-17,2.734e+00,99.99983945,20.14729699,5.47172216,0.28317544,200,1.000e-14,0.0923278332,100.00000000,20.14725491,5.04077333,0.00000000,2.1819473360e-14
700,256,1.0e-16,2.734e+00,99.99488406,20.14600205,5.47202841,0.28310457,101,1.010e-14,0.0481855869,100.00000000,20.14595985,5.04077071,0.00000000,2.1818769518e-14
