,size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
57,250,256,5e-17,0.9766,99.99696364,20.04233425,30.30251984,-0.03033471,518,2.59e-14,0.1221351624,100.0,20.04229053,5.04056127,0.0,2.1762430529e-14
58,250,256,1e-16,0.9766,99.99696364,20.04233425,30.30251984,-0.03033471,260,2.6e-14,0.0633358955,100.0,20.04229053,5.04056127,0.0,2.1762430529e-14
59,250,256,5e-16,0.9766,99.99664187,20.34410936,30.53417027,-0.03387287,54,2.7000000000000005e-14,0.01242733,100.0,20.34405992,5.04117243,0.0,2.1926438823000002e-14
60,250,512,1.0000000000000001e-20,0.4883,99.99634454,20.00060368,24.67726627,-2.90235809,63663,6.366e-16,16.954836607,100.0,20.00055604,5.0404770999999995,0.0,2.1739748714e-14
61,250,512,5e-20,0.4883,99.99634422,20.00188073,24.67797736,-2.90238233,12733,6.367000000000001e-16,3.4272444248,100.0,20.0018332,5.04047967,0.0,2.1740442827e-14
62,250,512,1e-19,0.4883,99.99634344,20.00507334,24.67975507,-2.90244293,6367,6.367000000000001e-16,1.7001664638999998,100.0,20.00502613,5.04048611,0.0,2.1742178114999997e-14
63,250,512,5e-19,0.4883,99.99633876,20.02422935,24.69042096,-2.90280634,1274,6.37e-16,0.34334349630000005,100.0,20.02418396,5.04052474,0.0,2.1752589989e-14
64,250,512,1e-18,0.4883,99.99633876,20.02422935,24.69042096,-2.90280634,637,6.37e-16,0.1727263927,100.0,20.02418396,5.04052474,0.0,2.1752589989e-14
65,250,512,5e-18,0.4883,99.99629159999999,20.21581822,24.7970449,-2.90642464,128,6.4e-16,0.0368413925,100.0,20.215774300000003,5.04091206,0.0,2.185671673e-14
66,250,512,1e-17,0.4883,99.99629159999999,20.21581822,24.7970449,-2.90642464,64,6.4e-16,0.019394636200000002,100.0,20.215774300000003,5.04091206,0.0,2.185671673e-14
67,250,512,5e-17,0.4883,99.99613051,20.8548331,25.15198539,-2.91828345,13,6.5e-16,0.0038616657,100.0,20.85479165,5.04221707,0.0,2.2204014098999998e-14
68,250,512,1e-16,0.4883,99.99522557,24.05959226,26.91419466,-2.97354905,7,7e-16,0.0022425652,100.0,24.05955608,5.04906662,0.0,2.3945760441e-14
69,250,512,5e-16,0.4883,99.98249003,43.91691541,36.52979997,-3.26669845,2,9.999999999999999e-16,0.0008881092,100.0,43.91688546,5.10271356,-6.87e-06,3.4737946296e-14
70,250,1024,1.0000000000000001e-20,0.2441,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,18.8588459492,100.0,20.00020596,5.04047639,0.0,2.1739558453999998e-14
71,250,1024,5e-20,0.2441,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,3.7827191353,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
72,250,1024,1e-19,0.2441,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,1.8771753311000001,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
73,250,1024,5e-19,0.2441,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.3855428696,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
74,250,1024,1e-18,0.2441,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.1957724094,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
75,250,1024,5e-18,0.2441,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0423569679,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
76,250,1024,1e-17,0.2441,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.0199735165,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
77,250,1024,5e-17,0.2441,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0046765804,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
78,250,1024,1e-16,0.2441,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0025246142999999998,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
79,250,1024,5e-16,0.2441,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0011479855,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
80,250,2048,1.0000000000000001e-20,0.1221,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,27.1238152981,100.0,20.00020596,5.04047639,0.0,2.1739558455e-14
81,250,2048,5e-20,0.1221,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,5.426839113200001,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
82,250,2048,1e-19,0.1221,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,2.6946136950999997,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
83,250,2048,5e-19,0.1221,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.5491547585000001,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
84,250,2048,1e-18,0.1221,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.272952795,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
85,250,2048,5e-18,0.1221,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0576658249,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
86,250,2048,1e-17,0.1221,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.030781745899999997,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
87,250,2048,5e-17,0.1221,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0065159798,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
88,250,2048,1e-16,0.1221,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0035643578000000005,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
